Company,SAS,Series,Symbol
NIFTY 50,Nifty 50,Index,^NSEI
NIFTY BANK,Nifty Bank,Index,^NSEBANK
USD/INR Future,USDINR20JUNFUT,Derivative,USDINR
USD/INR ,USDINR,Index,INR=X
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS-EQ,EQ,ADANIPORTS.NS
Asian Paints Ltd.,ASIANPAINT-EQ,EQ,ASIANPAINT.NS
Axis Bank Ltd.,AXISBANK-EQ,EQ,AXISBANK.NS
Bajaj Auto Ltd.,BAJAJ-AUTO-EQ,EQ,BAJAJ-AUTO.NS
Bajaj Finance Ltd.,BAJFINANCE-EQ,EQ,BAJFINANCE.NS
Bajaj Finserv Ltd.,BAJAJFINSV-EQ,EQ,BAJAJFINSV.NS
Bharat Petroleum Corporation Ltd.,BPCL-EQ,EQ,BPCL.NS
Bharti Airtel Ltd.,BHARTIARTL-EQ,EQ,BHARTIARTL.NS
Bharti Infratel Ltd.,INFRATEL-EQ,EQ,INFRATEL.NS
Britannia Industries Ltd.,BRITANNIA-EQ,EQ,BRITANNIA.NS
Cipla Ltd.,CIPLA-EQ,EQ,CIPLA.NS
Coal India Ltd.,COALINDIA-EQ,EQ,COALINDIA.NS
Dr. Reddy's Laboratories Ltd.,DRREDDY-EQ,EQ,DRREDDY.NS
Eicher Motors Ltd.,EICHERMOT-EQ,EQ,EICHERMOT.NS
GAIL (India) Ltd.,GAIL-EQ,EQ,GAIL.NS
Grasim Industries Ltd.,GRASIM-EQ,EQ,GRASIM.NS
HCL Technologies Ltd.,HCLTECH-EQ,EQ,HCLTECH.NS
HDFC Bank Ltd.,HDFCBANK-EQ,EQ,HDFCBANK.NS
Hero MotoCorp Ltd.,HEROMOTOCO-EQ,EQ,HEROMOTOCO.NS
Hindalco Industries Ltd.,HINDALCO-EQ,EQ,HINDALCO.NS
Hindustan Unilever Ltd.,HINDUNILVR-EQ,EQ,HINDUNILVR.NS
Housing Development Finance Corporation Ltd.,HDFC-EQ,EQ,HDFC.NS
ICICI Bank Ltd.,ICICIBANK-EQ,EQ,ICICIBANK.NS
ITC Ltd.,ITC-EQ,EQ,ITC.NS
Indian Oil Corporation Ltd.,IOC-EQ,EQ,IOC.NS
IndusInd Bank Ltd.,INDUSINDBK-EQ,EQ,INDUSINDBK.NS
Infosys Ltd.,INFY-EQ,EQ,INFY.NS
JSW Steel Ltd.,JSWSTEEL-EQ,EQ,JSWSTEEL.NS
Kotak Mahindra Bank Ltd.,KOTAKBANK-EQ,EQ,KOTAKBANK.NS
Larsen & Toubro Ltd.,LT-EQ,EQ,LT.NS
Mahindra & Mahindra Ltd.,M&M-EQ,EQ,M&M.NS
Maruti Suzuki India Ltd.,MARUTI-EQ,EQ,MARUTI.NS
NTPC Ltd.,NTPC-EQ,EQ,NTPC.NS
Nestle India Ltd.,NESTLEIND-EQ,EQ,NESTLEIND.NS
Oil & Natural Gas Corporation Ltd.,ONGC-EQ,EQ,ONGC.NS
Power Grid Corporation of India Ltd.,POWERGRID-EQ,EQ,POWERGRID.NS
Reliance Industries Ltd.,RELIANCE-EQ,EQ,RELIANCE.NS
Shree Cement Ltd.,SHREECEM-EQ,EQ,SHREECEM.NS
State Bank of India,SBIN-EQ,EQ,SBIN.NS
Sun Pharmaceutical Industries Ltd.,SUNPHARMA-EQ,EQ,SUNPHARMA.NS
Tata Consultancy Services Ltd.,TCS-EQ,EQ,TCS.NS
Tata Motors Ltd.,TATAMOTORS-EQ,EQ,TATAMOTORS.NS
Tata Steel Ltd.,TATASTEEL-EQ,EQ,TATASTEEL.NS
Tech Mahindra Ltd.,TECHM-EQ,EQ,TECHM.NS
Titan Company Ltd.,TITAN-EQ,EQ,TITAN.NS
UPL Ltd.,UPL-EQ,EQ,UPL.NS
UltraTech Cement Ltd.,ULTRACEMCO-EQ,EQ,ULTRACEMCO.NS
Vedanta Ltd.,VEDL-EQ,EQ,VEDL.NS
Wipro Ltd.,WIPROS-EQ,EQ,WIPROS.NS
Zee Entertainment Enterprises Ltd.,ZEEL-EQ,EQ,ZEEL.NS
Kotak Mahindra Bank Limited,KOTAKBANK-EQ,EQ,KOTAKBANK.NS
HDFC Bank Limited,HDFCBANK-EQ,EQ,HDFCBANK.NS
Punjab National Bank,PNB-EQ,EQ,PNB.NS
The Federal Bank Limited,EDERALBNK-EQ,EQ,EDERALBNK.NS
IDFC First Bank Limited,IDFCFIRSTB-EQ,EQ,IDFCFIRSTB.NS
Bank of Baroda,BANKBARODA-EQ,EQ,BANKBARODA.NS
State Bank of India,SBIN-EQ,EQ,SBIN.NS
ICICI Bank Limited,CICIBANK-EQ,EQ,CICIBANK.NS
IndusInd Bank Limited,INDUSINDBK-EQ,EQ,INDUSINDBK.NS
Axis Bank Limited,AXISBANK-EQ,EQ,AXISBANK.NS
RBL Bank Limited,RBLBANK-EQ,EQ,RBLBANK.NS
